商品名,顧客属性,問い合わせ元サイト,大区分NO,大区分名,小区分NO,小区分名,ユーザーの意図(Intent),意図要約(短),対象機能(Target Function),Webサイトのバリア(Barrier),バリア要約(短),Web自己解決可能性,推定発生ページ,発生タイミング,重要キーワード,緊急度,顧客の生の声,商品カテゴリ小カテゴリ
コピー用紙,不明,不明,5,クレーム,1,お届け商品の破損,届いた商品の状態異常について出荷時状況を確認したい,到着品の状態が異常で確認,配送状態確認,なし,なし,低,不明,配送後,コピー用紙;ファイル添付;箱;寄れ;破れなし;出荷時,中,コピー用紙注文して届いたものがフアイル添付の状態でした。;出荷時、この状態であったのでしょうか。,コピー用紙
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,納期遅延連絡の内容確認と連絡手段をメールにしてほしい,納期遅延の件の確認と連絡手段変更,納期確認;連絡手段変更,なし,なし,低,不明,注文後,電話;かけ直しても途中で切れてしまいます;メール;商品のお届けが遅れる;昨日;今日,中,かけ直しても途中で切れてしまいます。;出来ましたらお電話てはなく、メールにして下さい。,不明
不明,事務担当,不明,8,帳票について,2,請求書の発行希望（インボイス目的以外）,請求書を印刷（発行）したい,請求書を印刷したい,請求書発行,なし,なし,中,ログイン/マイページ,帳票発行時,請求書;印刷,低,請求書を印刷したい,不明
什器,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,注文済み什器の到着日を前倒しで確認・依頼したい,10/23午前までの到着希望,納期確認,なし,なし,低,注文履歴詳細,注文後,什器;2台;イベント日;10月23日;午前中;到着;間に合いません;余裕を持ってオーダー;お届け,高,遅くとも10月23日の午前中に到着しないと間に合いません。;ぜひ何とかお届けしていただきたいです。,店舗什器
不明,不明,不明,3,注文について,4,注文のキャンセル,誤って発注した注文をキャンセルしたい,誤発注のため注文キャンセル希望,キャンセル,なし,なし,中,注文履歴詳細,注文後,誤って発注;キャンセル,中,申し訳ございませんが、誤って発注をしてしまいました。こちらの商品のキャンセルをお願いできますでしょうか？,不明
不明,不明,不明,6,納期について,10,到着時間指定の希望（ご注文後）,到着日を10/22以降に指定したい,10/22以降の到着希望,配送日時指定,なし,なし,中,注文履歴詳細,注文後,商品の到着;10/22;水曜日以降,中,商品の到着を10/22水曜日以降でおねがいします,不明
不明,不明,不明,3,注文について,4,注文のキャンセル,重複購入のため注文をキャンセルしたい,重複購入のため注文キャンセル希望,キャンセル,なし,なし,中,注文履歴詳細,注文後,重複購入;キャンセル,中,社内で重複して購入していたようでして、この注文をキャンセルさせていただけないでしょうか。,不明
ウインドウステッカー 大 サンタ＆トナカイ;LEDライト付きナチュラル クリスマスガーランド レッドボール＆リーフ;クリスマス ドアベルハンガー 高さ28cm レッド,不明,不明,3,注文について,4,注文のキャンセル,注文キャンセル時のエラー解消をしたい,キャンセルエラーの解消依頼,キャンセル,キャンセルボタン押下でエラーが出て処理できない,キャンセル実行でエラー発生,中,注文履歴詳細,注文後,キャンセルボタン;エラー;追加;18日迄5％OFF;58-109-6-1;ウインドウステッカー 大 サンタ＆トナカイ;58-50-7-2;LEDライト付きナチュラル クリスマスガーランド レッドボール＆リーフ;58-48-4-1;クリスマス ドアベルハンガー;高さ28cm;レッド,高,キャンセルボタンがありましたので押したのですがエラーが出てできませんでした。;18日迄5％OFFなので追加したいのですが対応していただけないでしょうか？,ウインドウシール
ウインドウステッカー 大 サンタ＆トナカイ;LEDライト付きナチュラル クリスマスガーランド レッドボール＆リーフ;クリスマス ドアベルハンガー 高さ28cm レッド,不明,不明,3,注文について,3,注文内容の変更,注文に商品を追加してほしい,注文商品追加の依頼,注文内容変更,キャンセル操作がエラーでできず、自力で追加手続きに進めない,キャンセル不可で追加ができない,低,注文履歴詳細,注文後,追加;18日迄5％OFF;58-109-6-1;ウインドウステッカー 大 サンタ＆トナカイ;1個;58-50-7-2;LEDライト付きナチュラル クリスマスガーランド;レッドボール＆リーフ;58-48-4-1;クリスマス ドアベルハンガー;高さ28cm,高,追加があったのでキャンセルボタンがありましたので押したのですがエラーが出てできませんでした。;追加よろしくお願いします,ウインドウシール
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,出荷日（納期）を至急確認したい,出荷日を至急知りたい,納期確認,なし,なし,中,不明,注文後,出荷日;至急;10/22;設置,高,出荷日を 至急教えてください;10/22に設置したいです,不明
不明,不明,不明,3,注文について,1,注文内容の確認,商品を同梱できるか確認したい,別商品を同梱できるか確認,同梱可否確認,なし,なし,中,お問い合わせフォーム,注文時,同梱;同梱可能,低,こちらの商品と同梱したい商品がありますが同梱可能ですか？,不明
不明,不明,不明,6,納期について,3,納期確認（ご注文前）-いつ届くのか,注文前に翌日着が可能か確認したい,翌日着（21日着）の可否確認,納期確認,着日指定が24日以降しか選べない,着日指定が24日からしか選べない,中,商品ページ,注文前,当日出荷可能;着日指定;24日;20日午前中;21日着;仙台市青葉区,高,当日出荷可能と記載の商品を購入したいのですが、着日指定が24日からしかできません。;20日の午前中に注文して21日着は可能でしょうか？,不明
不明,不明,不明,6,納期について,1,納期確認（ご注文前）-サイト表示日より早くほしい,当日出荷商品の納期を前倒しできるか確認したい,当日出荷の前倒し納期確認,納期確認,納期指定が24日からしか選べない,納期指定が希望日より後しか選択不可,中,ご注文の確認,注文前,当日出荷可能;納期指定;24日からしか出来ない;20日午前中;20日出荷;21日着;仙台市青葉区;急ぎ;電話連絡;09026479783,高,当日出荷可能と記載の商品ですが、納期指定が24日からしか出来ませんでした。;急ぎの為、回答は電話連絡を頂きたいです。,不明
不明,不明,不明,3,注文について,4,注文のキャンセル,注文をキャンセルしたい,別注文のため既存注文を取消希望,キャンセル,なし,なし,中,注文履歴詳細,注文後,キャンセル;別の注文,中,別の注文をいたしますので、こちらはキャンセルをお願いいたします。,不明
SF壁面有孔パネルタイプ,不明,不明,1,商品単品の仕様について,1,大型什器商品について,SF壁面有孔パネルタイプの棚板耐荷重を確認したい,棚板の耐荷重を確認したい,商品仕様確認,なし,なし,中,商品ページ,注文前,什器セット;SF;壁面;有孔パネルタイプ;棚板;耐荷重;Kg,低,この棚板の耐荷重は何Kgですか？,有孔ボード
SF壁面有孔パネルタイプ,不明,不明,2,ご相談について,1,什器の組み合わせについて,SF壁面有孔パネルタイプを90cm幅で4連結セット購入できるか相談したい,90cm幅を4連結購入可否,セット構成相談,画像では3連結の情報しかなく4連結購入可否が判断できない,4連結の購入可否情報が不足,中,商品ページ,注文前,SF;壁面;有孔パネルタイプ;90cm幅;3連結;4連結;購入可能,低,これを４連結での購入は可能ですか？,有孔ボード
不明,不明,不明,3,注文について,3,注文内容の変更,2つの注文を同梱して送料をまとめたい,注文をまとめて送料を統合希望,同梱依頼,なし,なし,低,注文履歴一覧,注文後,送料;注文を一つに;13706618;13706660,中,次の二つの注文を一つにして、送料をまとめていただければ幸いです。,不明
クリスマスツリー,不明,不明,1,商品単品の仕様について,8,その他商品について,クリスマスツリーの床からの高さを知りたい,ツリー床からの高さ確認,商品仕様確認,商品仕様（床からの高さ）の記載が見当たらない,床からの高さ情報が未掲載,中,商品ページ,注文前,クリスマスツリー;ベースアクセサリー;床からツリーまでの高さ;何センチ;注文番号58-34-6-1;添付画像,低,床からツリーまでの高さの記載が見当たらなかった為、何センチくらいなのか知りたくご連絡いたしました。,クリスマスツリー
フロッキーファイバーツリー 60cm,個人,ストエキ（公式サイト）,4,ご利用について,8,注文方法が分からない,会員登録なしで商品を購入したい,会員登録せず購入可否確認,注文（ゲスト購入可否）,ゲスト購入の可否が分からない,会員登録なし購入の案内不足,中,ご注文方法の設定,注文前,フロッキーファイバーツリー;60cm;会員登録しないで購入;ツリーだけ,低,会員登録をしないで購入したいのですが、だめですか？;ツリーだけを購入したいのです。,ファイバーツリー
抽選ボックス,事務担当,不明,8,帳票について,1,領収書の発行希望（インボイス目的以外）,領収書をメールで発行してほしい,領収書をメール送付希望,領収書発行,なし,なし,中,不明,帳票発行時,抽選ボックス;25個;6600円;領収書;メール;ジョイフル国分専門店会,中,抽選ボックス25個 6600円のみの領収書を ジョイフル国分専門店会で発行していただきますようお願いします;メールで送っていただければ結構です。,抽選用品
きゅっぱ,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,注文済み商品の納期を早められるか確認したい,注文後の納期短縮可否確認,納期確認,なし,なし,低,不明,注文後,きゅっぱ;納期;早めて欲しい,中,きゅっぱを注文しましたが 納期を早めて欲しいです。 可能でしょうか？,不明
不明,事務担当,不明,7,インボイスについて,1,納品書の再発行依頼,納品書データの再発行を依頼したい,廃棄した納品書データ希望,帳票再発行,なし,なし,中,注文履歴詳細,帳票発行時,納品書;廃棄;データ;再発行,中,納品書を廃棄してしまい、データでも良いので頂けますでしょうか。,不明
LED付きのクリスマスツリー,不明,不明,12,ストアエキスプレス各店について,1,ストアエキスプレス各店について（東京・大阪・福岡）,店舗で商品の現物を見られるか確認したい,店舗で現物確認できるか知りたい,店舗在庫・展示確認,なし,なし,中,不明,注文前,店舗で見る;現物;LED付き;クリスマスツリー,低,この商品を、そちらの店舗で見る事は出来ますでしょうか？;LED付きのクリスマスツリーを探しています。,クリスマスツリー
不明,不明,不明,3,注文について,6,配送先の変更,配送先変更と着日延期が可能か確認したい,配送先変更と着日延期可否,配送先変更,なし,なし,中,注文履歴詳細,注文後,着日を遅らせ;配送先を変更,中,着日を遅らせ、配送先を変更したいのですが、ご対応可能でしょうか？,不明
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,出荷日・到着日の確認をしたい,出荷日と到着日を至急確認,納期確認,なし,なし,中,注文履歴詳細,注文後,出荷日;到着日;至急,高,出荷日 到着日 教えてください 至急知りたいです,不明
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,到着日を21日着にできるか確認したい,21日着にできるか確認,納期確認,なし,なし,低,不明,注文後,21日着,高,21日着になると非常に助かります。,不明
不明,不明,不明,4,ご利用について,14,退会したい,法人登録したためID登録を抹消したい,ID登録の抹消依頼,退会/アカウント削除,なし,なし,低,ログイン/マイページ,不明,店研ビジネスネット;法人登録;ID登録;抹消,中,新しく店研ビジネスネットへ法人登録しましたので、こちらのID登録を抹消してください。,不明
不明,不明,不明,3,注文について,3,注文内容の変更,注文内容を別サイズ（幅29.5×奥行20×高さ7cm）へ変更したい,指定サイズへの変更依頼,注文内容変更,なし,なし,中,注文履歴詳細,注文後,幅29.5cm;奥行20cm;高さ7cm;変更,中,(4)幅29.5×奥行20×高さ7cmの方に変更したいです。;よろしくお願い致します。,不明
不明,事務担当,不明,7,インボイスについて,1,納品書の再発行依頼,納品書をPDFで再発行してほしい,納品書PDF再発行の依頼,帳票再発行,なし,なし,低,不明,帳票発行時,納品書;メール;PDF;決算;経費;至急;本日,高,納品書を無くしてしまいました。;本日決算につき経費にするために至急必要です。,不明
不明,不明,不明,3,注文について,6,配送先の変更,配送先情報を修正してほしい,配送先の修正依頼,配送先変更,なし,なし,中,配送先の登録,注文後,配送先;修正;株式会社プロフリー;橋本部長,中,配送先は下記になりますので、修正をお願いします。,不明
不明,事務担当,不明,7,インボイスについて,1,納品書の再発行依頼,納品書を再発行してほしい,納品書の再発行依頼,帳票再発行,なし,なし,低,不明,帳票発行時,納品書;再発行,中,納品書の再発行をお願いいたします,不明
不明,不明,不明,6,納期について,10,到着時間指定の希望（ご注文後）,到着日・時間帯指定を24日の最遅へ変更したい,配送日時を24日最遅に変更,配送日時変更,なし,なし,中,注文履歴詳細,注文後,配送;22日指定;24日;1番遅い時間帯;変更,中,配送を22日に指定しましたが、24日の1番遅い時間帯に変更してほしい。,不明
不明,不明,不明,6,納期について,6,納期変更（ご注文後）-納期指定したが変更したい,到着日の変更を依頼したい,到着日を前倒し変更したい,納期変更,なし,なし,中,不明,注文後,到着日;変更;11月7日;11月1日,中,荷物の到着日の変更をお願いしたく、連絡いたしました。11月７日から11月１日へ変更できますか？,不明
不明,不明,ストエキ（公式サイト）,4,ご利用について,1,ログインできない,ログインできないためログイン方法を知りたい,過去購入アカウントでログインしたい,ログイン,登録メールアドレスを覚えておらずログイン情報が不十分,メール設定記憶がなくログイン不可,中,ログイン/マイページ,不明,ログインできません;ID:hobbix;pass:q152nbxg;メールを設定した記憶もありません;以前購入,中,以前購入したことがあるのですが、ログインできません。;かなり前なのでメールを設定した記憶もありません。,不明
不明,不明,不明,6,納期について,9,到着時間指定の希望（ご注文前）,到着時間が午前か午後かの目安を知りたい,到着時間の午前午後を確認,到着時間確認,なし,なし,中,不明,不明,到着時間;午前;午後,中,到着時間ですが午前か午後かだけでもわかりませんか。,不明
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,到着予定日の連絡へのお礼・確認,24日到着連絡へのお礼,納期確認,なし,なし,不明,不明,注文後,24日の到着;早々のご連絡,低,24日の到着との事 たいへん嬉しく助かります。,不明
マネキン,事務担当,不明,3,注文について,6,配送先の変更,マネキン15体の配送先を変更したい,マネキン配送先の変更依頼,配送先変更,なし,なし,中,配送先の登録,注文後,マネキン;15体;配送先変更;〒121-0836;東京都足立区入谷6-2-11;株式会社国分;松村様宛;竹中様;グリット;加藤,中,マネキン１５体の配送先ですが、以下に変更させて頂きたいと思っております。,マネキン／トルソー（ボディ）
不明,不明,不明,3,注文について,6,配送先の変更,納品先住所を変更したい,納品先住所変更の可否確認,配送先変更,不明,なし,中,配送先の登録,注文後,納品先;住所変更,低,納品先の住所変更することは可能でしょうか。,不明
不明,不明,不明,6,納期について,8,配送会社に関する希望（ご注文後）,置き配での配送を依頼したい,配送を置き配に変更希望,配送方法変更,なし,なし,中,不明,注文後,配送;置き配,中,配送を置き配にてお願い致します。,不明
アルミ製ベンチ,不明,不明,1,商品単品の仕様について,8,その他商品について,アルミ製ベンチの色（ブラック有無）を確認したい,アルミ製ベンチの色確認,商品仕様確認,なし,なし,中,デジタルカタログ,注文前,総合カタログ41号;478P;デジタルカタログ;アルミ製ベンチ;色;ブラック,低,上記商品の色を教えてください。 ブラック希望ですがありますでしょうか。,ベンチ
LEDブランチシーフ;LED Eーブライト,不明,不明,3,注文について,5,お客様都合による返品や交換,誤配送のため返品したい,別商品が届いたので返品希望,返品,なし,なし,中,不明,注文後,LEDブランチシーフ;LED Eーブライト;別物が届いた;返品したい,中,LEDブランチシーフを注文したが、LED Eーブライトと言う全く別物が届いたので返品したい,ブランチツリー
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,納期が分かったらメールで連絡してほしい,納期判明後にメール連絡希望,納期確認,なし,なし,中,不明,注文後,納期;メール;連絡,中,納期がわかりましたらメールにてご連絡ください。,不明
ホワイトボード,不明,不明,3,注文について,1,注文内容の確認,贈答品のため価格が分かる書類を同梱しないでほしい,贈答用のため価格書類を同梱しない要望,同梱物指定,なし,なし,中,お問い合わせフォーム,配送前,ホワイトボード;贈答品;購入金額;価格がわかる書類;同梱しない,中,送っていただくホワイトボードは、贈答品のため、荷物内に購入金額等、価格がわかる書類は入れないようにしていただきたいのですが。,ホワイトボード
不明,不明,不明,13,お客様ではない企業からの売込み,1,お客様ではない企業からの売込み,物流倉庫物件の売り込み提案,物流倉庫物件の紹介依頼,不明,なし,なし,高,不明,不明,ディールエージェント株式会社;鈴木;愛知県一宮市;坪単価3000円台;約500坪;敷金礼金不要;短期使用可;物流倉庫;愛知県一宮市荻原町林野字鷺宮8番1;床荷重2.0t/㎡;有効天井高5.5m,低,物流倉庫のご紹介をさせていただきたく、ご連絡いたしました。;弊社では上記物件の他にも全国の空き倉庫をご紹介しております。,不明
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,一部でもよいので早く発送してほしい,一部でも早く発送希望,納期確認,なし,なし,低,不明,注文後,一部でもいい;早く発送;発送,高,一部でもいいので早く発送してください,不明
不明,不明,不明,6,納期について,1,納期確認（ご注文前）-サイト表示日より早くほしい,表示より早い納期（店着日）に前倒しできるか確認したい,10/31店着に前倒し可否確認,納期確認,なし,なし,低,商品ページ,注文前,納期確認;最短;11月1日頃;店着;10月31日店着;可能でしょうか;株式会社CRISP;菅原;080-4327‐5111,高,最短で『11月1日頃の店着』とのことですが、10月31日店着は可能でしょうか？,不明
アクリル展示台,不明,不明,2,ご相談について,2,販促什器について,アクリル展示台の対応可否を相談したい,アクリル展示台の対応可否相談,商品相談,なし,なし,中,お問い合わせフォーム,注文前,アクリル展示台;添付ファイル;仕様書;サイズ;1枚目,中,添付ファイルのアクリル展示台 ご対応可能かご検討のほどよろしくお願いいたします。;サイズは1枚目の仕様書サイズとなります。,アクリル卓上ディスプレイ
不明,不明,不明,3,注文について,3,注文内容の変更,注文数量を2個に変更したい,個数を2つへ変更希望,注文内容変更,なし,なし,低,注文履歴詳細,注文後,個数;2つ;変更希望,中,個数を２つに変更希望ですが、ご対応いただけますでしょうか。,不明
クリスマスツリー（ライト付き、180cm～200cm）,不明,不明,4,ご利用について,5,注文したい商品が見当たらない、注文番号が分からない,ライト付きクリスマスツリー（180〜200cm）の商品紹介・探し方を知りたい,ライト付きツリーを探したい,商品検索,目的の商品カテゴリ/条件（高さ・ライト内蔵）での探し方が分からない,条件に合う商品の探し方が不明,中,サイト内検索,注文前,高さ180㎝～200㎝;クリスマスツリー;巻き付け不要;ライトがすでに取り付け,低,巻き付け不要でライトがすでに取り付けられている商品を探しているのですが、ご紹介いただけないでしょうか。;WEB上での上記のような商品の探し方を教えていただけますでしょうか。,クリスマスツリー
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,明日の到着予定時刻と配送状況を確認したい,明日の着荷時間と追跡確認,配送状況確認,追跡番号や配送状況の確認方法が分からない,追跡Noの確認手段が不明,中,注文履歴詳細,配送前,明日;何時に着荷;配送状況;追跡No,高,明日の何時に着荷かわかりますでしょうか;配送状況、追跡No教えてください,不明
不明,不明,不明,6,納期について,3,納期確認（ご注文前）-いつ届くのか,お届け日（納期）を確認したい,お届け予定日を知りたい,納期確認,なし,なし,中,商品ページ,注文前,お届け日;いつ,低,お届け日はいつになりますでしょうか？,不明
C1レール,不明,不明,3,注文について,4,注文のキャンセル,注文をキャンセルしたい,納期遅延のため注文キャンセル,キャンセル,なし,なし,中,注文履歴詳細,注文後,キャンセル;納期が遅い;重量;8kg;C1レール;変更,中,申し訳ございません、この注文はキャンセルしてください。,不明
C1レール,不明,不明,3,注文について,3,注文内容の変更,注文内容をC1レールへ変更したい,重量理由でC1レールへ変更,注文内容変更,なし,なし,低,注文履歴詳細,注文後,重量;8kg;C1レール;変更,中,重量が８kgなのでC1レールに変更します。,不明
透明PETカップ5オンス,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,商品の着荷予定日（納期）を確認したい,透明PETカップの着荷予定日確認,納期確認,なし,なし,中,不明,注文後,着荷予定日;10/24;催事;透明PETカップ;5オンス;50個;数量38,高,下記商品の着荷予定日をお知らせください。＊10/24(金)の催事に使用予定,プラスチックコップ
不明,事務担当,不明,7,インボイスについて,1,納品書の再発行依頼,インボイス対応の適格請求書を再発行してほしい,適格請求書の再発行依頼,帳票再発行,なし,なし,低,不明,帳票発行時,WEBオーダー番号13683871;インボイス対応;適格請求書;再発行,中,インボイス対応の適格請求書の再発行をお願いいたします。,不明
ワゴン什器,不明,不明,8,帳票について,1,領収書の発行希望（インボイス目的以外）,贈答のため納品書・領収書を同梱しないでほしい,金額記載書類を同梱しない依頼,帳票発行,なし,なし,低,お問い合わせフォーム,注文後,ワゴン什器;贈答品;購入金額;納品書;領収書;同梱しない,中,当製品 ワゴン什器は贈答品のため、荷物内に購入金額等が記載された納品書や領収書を入れないようにお願いいたします。,ワゴン／バスケット／ボックス什器
ワゴン什器,不明,不明,8,帳票について,1,領収書の発行希望（インボイス目的以外）,贈答品のため金額記載の帳票を同梱しないでほしい,金額記載書類の同梱不要,帳票同梱設定,なし,なし,低,お問い合わせフォーム,注文後,ワゴン什器;贈答品;納品書;領収書;購入金額;同梱しないでください,中,本製品のワゴン什器は贈答品のため、荷物内に購入金額等が記載された納品書あるいは領収書等を入れないでください。,平台ワゴン
姿見,個人,不明,8,帳票について,1,領収書の発行希望（インボイス目的以外）,贈答品のため金額記載の帳票を同梱しないでほしい,金額記載の帳票を同梱しない,帳票同梱の可否,なし,なし,中,ご注文の確認,注文時,姿見;贈答品;納品書;領収書;購入金額;同梱しない,中,本製品の姿見は、贈答品のため、荷物内に購入金額等が記載された納品書あるいは領収書等は入れないでください。,ミラー／鏡
不明,不明,不明,6,納期について,3,納期確認（ご注文前）-いつ届くのか,21日発送・22日着が可能か確認したい,21日発送22日着可否確認,納期確認,なし,なし,中,商品ページ,注文前,当日出荷;21日発送;22日着,高,当日出荷商品かと思うのですが、21日発送、22日着は難しいでしょうか？,不明
姿見,不明,不明,8,帳票について,1,領収書の発行希望（インボイス目的以外）,贈答品のため納品書・領収書を同梱しないでほしい,納品書や領収書の同梱不要依頼,帳票,なし,なし,中,お問い合わせフォーム,注文後,姿見;贈答品;購入金額;納品書;領収書;同梱しない,中,当製品の姿見は、贈答品のため、荷物内に購入金額等が記載された納品書あるいは領収書等を入れないでください。,ミラー／鏡
ネットカゴ3段スタンド,不明,不明,8,帳票について,1,領収書の発行希望（インボイス目的以外）,贈答用のため金額が分かる納品書・領収書を同梱しないでほしい,納品書/領収書の同梱停止依頼,帳票同梱設定,なし,なし,中,ご注文の確認,注文時,ネットカゴ3段スタンド;贈答品;購入金額;納品書;領収書;同梱しない,中,荷物内に購入金額等が記載された納品書あるいは領収書を入れないでください。,ネット棚／カゴ
不明,事務担当,不明,7,インボイスについて,1,納品書の再発行依頼,納品書の再発行を依頼したい,納品書の再発行を依頼,帳票再発行,なし,なし,中,注文履歴詳細,帳票発行時,納品書;紛失;再発行;インボイス番号;会社に提出,中,納品書を紛失してしまい、会社に提出するにあたってインボイス番号が分かるものが欲しいです。再発行お願い致します。,不明
ネットカゴ3段スタンド,個人,不明,8,帳票について,1,領収書の発行希望（インボイス目的以外）,贈答用のため金額が分かる納品書・領収書を同梱しないでほしい,金額記載書類の同梱不要,帳票同梱制御,なし,なし,中,ご注文の確認,注文後,ネットカゴ3段スタンド;贈答品;納品書;領収書;購入金額;同梱しないでください,中,荷物内に購入金額等を記載した納品書あるいは領収書を入れないでください。,ネット棚／カゴ
ネットカゴ3段スタンド,不明,不明,8,帳票について,1,領収書の発行希望（インボイス目的以外）,贈答用のため納品書・領収書を同梱しないでほしい,納品書・領収書の同梱停止,帳票同梱制御,なし,なし,中,不明,配送前,ネットカゴ3段スタンド;贈答品;納品書;領収書;購入金額;同梱しない,中,贈答品のため、荷物内に購入金額等を記載した納品書あるいは領収書を入れないでください。,ネット棚／カゴ
ネットカゴ3段スタンド,不明,不明,8,帳票について,1,領収書の発行希望（インボイス目的以外）,贈答品のため納品書・領収書を同梱しないでほしい,納品書/領収書の同梱停止希望,帳票同梱制御,なし,なし,低,お問い合わせフォーム,配送前,ネットカゴ3段スタンド;贈答品;納品書;領収書;購入金額;同梱しない,中,贈答品のため、荷物内に購入金額等が記載された納品書あるいは領収書を入れないでください。,ネット棚／カゴ
ネットカゴ3段スタンド,不明,不明,8,帳票について,1,領収書の発行希望（インボイス目的以外）,納品書・領収書を同梱しないでほしい,金額記載の書類同梱を避けたい,帳票同梱設定,なし,なし,低,ご注文の確認,注文時,ネットカゴ3段スタンド;贈答品;納品書;領収書;購入金額;同梱しない,中,荷物内に購入金額等を記載した納品書あるいは領収書を入れないでください。,ネット棚／カゴ
不明,事務担当,不明,8,帳票について,1,領収書の発行希望（インボイス目的以外）,領収書が納品書に同封されるか確認したい,領収書同封有無の確認,帳票（領収書・納品書）,なし,なし,中,ヘルプページ,帳票発行時,領収書;納品書;同封,低,「領収書は納品書に同封という認識でよろしいでしょうか。」,不明
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,出荷手配中の注文がいつ発送・到着するか確認したい,出荷手配中の発送時期確認,納期確認,ステータスが出荷手配中のまま進捗が分からない,出荷手配中のままで状況不明,低,注文履歴詳細,注文後,13701454;13701433;未納分;出荷手配中;1日以上;発送;22日中;入荷;取引停止;ペナルティ;連絡,高,出荷手配中の表示のまま1日以上経ちますがいつになったら発送してくれるのでしょうか？;22日中に入荷しないとクライアントから取引停止などのペナルティを課されてしまいます,不明
不明,不明,不明,3,注文について,4,注文のキャンセル,注文をキャンセルしたい,キャンセル可否を確認したい,キャンセル,なし,なし,中,注文履歴詳細,注文後,キャンセル;難しいでしょうか,中,大変申し訳ないのですが、キャンセルは難しいでしょうか。,不明
ベルベ 手提げ紙袋 マットバッグ ネイビー（3）;HEIKO 紙袋 カラーチャームバッグ カラー手提げ紙袋 紺（1）/（2）;HEIKO ヘイコー 紙袋 ブライトバッグ 紫紺（9）,店舗オーナー,ストエキ（公式サイト）,2,ご相談について,2,販促什器について,手提げ紙袋をサンプルとして1枚単位で入手できるか相談したい,紙袋の単品購入/サンプル可否,サンプル依頼,なし,なし,中,商品ページ,注文前,ポップアップショップ;ショッパー;現物サンプル;1枚ずつ;バラで発注;サンプルとしてお借りする;ベルベ;手提げ紙袋;マットバッグ;ネイビー;HEIKO;カラーチャームバッグ,低,こちら１枚ずつバラで発注する、もしくはサンプルとしてお借りすることは可能でしょうか？;現物サンプルを確認して決定予定,手提げ紙袋
LEDブラチシーフ,不明,不明,3,注文について,4,注文のキャンセル,注文済み商品のキャンセルと誤送品の引き取り依頼,キャンセルと誤送品引取依頼,キャンセル,なし,なし,低,お問い合わせフォーム,注文後,LEDブラチシーフ;キャンセル;誤送;引き取り,中,LEDブラチシーフはキャンセルで誤送された品物の引き取りのみお願いします,不明
イルミネーションライト,個人,不明,1,商品単品の仕様について,8,その他商品について,購入済みライトが点灯しないため交換可否を確認したい,ライト不点灯の交換可否確認,商品仕様確認（交換可否）,なし,なし,中,不明,不明,去年購入;ハロウィン;ライト;点灯しない;コンセント問題なし;中のライト;交換可能,中,ライトが点灯しません;中のライトは交換可能なのでしょうか。,イルミネーションライト
不明,事務担当,不明,7,インボイスについて,1,納品書の再発行依頼,領収書・納品書の再送付を依頼したい,領収書と納品書の再送付依頼,帳票再発行,なし,なし,中,不明,帳票発行時,領収書;納品書;紛失;再送付;t.furuya@f-lead.co.jp,中,同封された領収書、納品書を紛失してしまい、下記アドレスへ再度送付いただくこと可能でしょうか。,不明
不明,事務担当,不明,7,インボイスについて,1,納品書の再発行依頼,領収書・納品書の再送付を依頼したい,領収書と納品書の再送依頼,帳票再発行,なし,なし,中,注文履歴詳細,帳票発行時,領収書;納品書;紛失;再送付;t.furuya@f-lead.co.jp,中,同封された領収書、納品書を紛失してしまい、下記アドレスへ再度送付いただくこと可能でしょうか。,不明
不明,不明,不明,6,納期について,3,納期確認（ご注文前）-いつ届くのか,商品の納品予定日を確認したい,納品日（いつ届くか）確認,納期確認,なし,なし,中,商品ページ,注文前,いつ納品;納品,中,こちらの商品はいつ納品になりますか？,不明
不明,不明,不明,4,ご利用について,1,ログインできない,パスワード再設定エラーを解消したい,再設定時の不一致エラー解消,パスワード再設定,登録情報（メール/電話番号）の不一致で再設定が進められない,メールと電話番号不一致で再設定不可,中,パスワード再設定,不明,パスワード再設定;メールアドレス;電話番号;違う;エラーメッセージ,低,パスワード再設定を試みましたが、メールアドレスと電話番号が違うとのエラーメッセージがでます。,不明
ホワイトボード,不明,不明,8,帳票について,1,領収書の発行希望（インボイス目的以外）,贈答品のため金額記載の納品書・領収書を同梱しないでほしい,贈答品なので金額書類を同梱しない要望,帳票（納品書/領収書）同梱制御,なし,なし,低,不明,配送前,ホワイトボード;贈答品;納品書;領収書;購入金額;同梱しない,中,荷物内に購入金額等が記載された納品書あるいは領収書を入れないでください。,ホワイトボード
